frame,timeSeconds
0001.png,0.000
0002.png,0.033
0003.png,0.067
0004.png,0.100
0005.png,0.133
0006.png,0.167
0007.png,0.200
0008.png,0.233
0009.png,0.267
0010.png,0.300
0011.png,0.333
0012.png,0.367
0013.png,0.400
0014.png,0.433
0015.png,0.467
0016.png,0.500
0017.png,0.533
0018.png,0.567
0019.png,0.600
0020.png,0.633
0021.png,0.667
0022.png,0.700
0023.png,0.733
0024.png,0.767
0025.png,0.800
0026.png,0.833
0027.png,0.867
0028.png,0.900
0029.png,0.933
0030.png,0.967
0031.png,1.000
0032.png,1.033
0033.png,1.067
0034.png,1.100
0035.png,1.133
0036.png,1.167
0037.png,1.200
0038.png,1.233
0039.png,1.267
0040.png,1.300
0041.png,1.333
0042.png,1.367
0043.png,1.400
0044.png,1.433
0045.png,1.467
0046.png,1.500
0047.png,1.533
0048.png,1.567
0049.png,1.600
0050.png,1.633
0051.png,1.667
0052.png,1.700
0053.png,1.733
0054.png,1.767
0055.png,1.800
0056.png,1.833
0057.png,1.867
0058.png,1.900
0059.png,1.933
0060.png,1.967
0061.png,2.000
0062.png,2.033
0063.png,2.067
0064.png,2.100
0065.png,2.133
0066.png,2.167
0067.png,2.200
0068.png,2.233
0069.png,2.267
0070.png,2.300
0071.png,2.333
0072.png,2.367
0073.png,2.400
0074.png,2.433
0075.png,2.467
0076.png,2.500
0077.png,2.533
0078.png,2.567
0079.png,2.600
0080.png,2.633
0081.png,2.667
0082.png,2.700
0083.png,2.733
0084.png,2.767
0085.png,2.800
0086.png,2.833
0087.png,2.867
0088.png,2.900
0089.png,2.933
0090.png,2.967
0091.png,3.000
0092.png,3.033
0093.png,3.067
0094.png,3.100
0095.png,3.133
0096.png,3.167
0097.png,3.200
0098.png,3.233
0099.png,3.267
0100.png,3.300
0101.png,3.333
0102.png,3.367
0103.png,3.400
0104.png,3.433
0105.png,3.467
0106.png,3.500
0107.png,3.533
0108.png,3.567
0109.png,3.600
0110.png,3.633
0111.png,3.667
0112.png,3.700
0113.png,3.733
0114.png,3.767
0115.png,3.800
0116.png,3.833
0117.png,3.867
0118.png,3.900
0119.png,3.933
0120.png,3.967
0121.png,4.000
0122.png,4.033
0123.png,4.067
0124.png,4.100
0125.png,4.133
0126.png,4.167
0127.png,4.200
0128.png,4.233
0129.png,4.267
0130.png,4.300
0131.png,4.333
0132.png,4.367
0133.png,4.400
0134.png,4.433
0135.png,4.467
0136.png,4.500
0137.png,4.533
0138.png,4.567
0139.png,4.600
0140.png,4.633
0141.png,4.667
0142.png,4.700
0143.png,4.733
0144.png,4.767
0145.png,4.800
0146.png,4.833
0147.png,4.867
0148.png,4.900
0149.png,4.933
0150.png,4.967
0151.png,5.000
0152.png,5.033
0153.png,5.067
0154.png,5.100
